Local time,Open,High,Low,Close,Volume
31.12.2017 18:00:00.000 GMT-0600,1.20143,1.20173,1.20044,1.20110,7920.75
01.01.2018 18:00:00.000 GMT-0600,1.20109,1.20813,1.20081,1.20618,197721.2031
02.01.2018 18:00:00.000 GMT-0600,1.20619,1.20641,1.20015,1.20112,203173.875
03.01.2018 18:00:00.000 GMT-0600,1.20112,1.20890,1.20046,1.20669,209319.6875
04.01.2018 18:00:00.000 GMT-0600,1.20666,1.20833,1.20209,1.20314,193302.4063
06.01.2018 18:00:00.000 GMT-0600,1.20297,1.20391,1.20284,1.20373,6094.1899
07.01.2018 18:00:00.000 GMT-0600,1.20373,1.20525,1.19561,1.19703,192948.4375
08.01.2018 18:00:00.000 GMT-0600,1.19700,1.19757,1.19158,1.19287,215846.1563
09.01.2018 18:00:00.000 GMT-0600,1.19284,1.20181,1.19234,1.19561,263877.5625
10.01.2018 18:00:00.000 GMT-0600,1.19560,1.20591,1.19294,1.20431,250049.1875
11.01.2018 18:00:00.000 GMT-0600,1.20431,1.22186,1.20402,1.22051,280731.1563
13.01.2018 18:00:00.000 GMT-0600,1.21962,1.22122,1.21910,1.21923,9158
14.01.2018 18:00:00.000 GMT-0600,1.21923,1.22968,1.21879,1.22669,233781.2969
15.01.2018 18:00:00.000 GMT-0600,1.22670,1.22831,1.21954,1.22710,265122.5938
16.01.2018 18:00:00.000 GMT-0600,1.22710,1.23233,1.21656,1.21806,295076.7188
17.01.2018 18:00:00.000 GMT-0600,1.21807,1.22650,1.21737,1.22346,259623.2031
18.01.2018 18:00:00.000 GMT-0600,1.22345,1.22956,1.22150,1.22174,249837.2344
20.01.2018 18:00:00.000 GMT-0600,1.22708,1.22739,1.22342,1.22563,9133.9902
21.01.2018 18:00:00.000 GMT-0600,1.22563,1.22673,1.22142,1.22566,232559.5938
22.01.2018 18:00:00.000 GMT-0600,1.22566,1.23153,1.22231,1.23092,265230.9688
23.01.2018 18:00:00.000 GMT-0600,1.23091,1.24151,1.22925,1.23929,303693.0313
