Local time,Open,High,Low,Close,Volume
01.01.2018 14:00:00.000 GMT-0600,1.20143,1.20173,1.20044,1.20110,7920.7502
01.01.2018 18:00:00.000 GMT-0600,1.20109,1.20232,1.20081,1.20122,20748.3599
01.01.2018 22:00:00.000 GMT-0600,1.20121,1.20384,1.20117,1.20363,26697.3301
02.01.2018 02:00:00.000 GMT-0600,1.20363,1.20813,1.20325,1.20596,44005.5498
02.01.2018 06:00:00.000 GMT-0600,1.20594,1.20690,1.20263,1.20446,51279.0508
02.01.2018 10:00:00.000 GMT-0600,1.20454,1.20593,1.20414,1.20536,36109.6298
02.01.2018 14:00:00.000 GMT-0600,1.20539,1.20664,1.20520,1.20618,18881.2896
02.01.2018 18:00:00.000 GMT-0600,1.20619,1.20641,1.20420,1.20469,22916.6099
02.01.2018 22:00:00.000 GMT-0600,1.20468,1.20608,1.20347,1.20393,25821.28
03.01.2018 02:00:00.000 GMT-0600,1.20394,1.20436,1.20110,1.20152,44703.4405
03.01.2018 06:00:00.000 GMT-0600,1.20151,1.20348,1.20037,1.20238,49233.5009
03.01.2018 10:00:00.000 GMT-0600,1.20236,1.20326,1.20015,1.20165,40384.67
03.01.2018 14:00:00.000 GMT-0600,1.20166,1.20292,1.20069,1.20112,20114.3698
03.01.2018 18:00:00.000 GMT-0600,1.20112,1.20193,1.20046,1.20147,21582.6001
03.01.2018 22:00:00.000 GMT-0600,1.20147,1.20383,1.20146,1.20286,29924.5
04.01.2018 02:00:00.000 GMT-0600,1.20285,1.20660,1.20217,1.20623,41857.8496
04.01.2018 06:00:00.000 GMT-0600,1.20623,1.20890,1.20556,1.20745,54290.6601
04.01.2018 10:00:00.000 GMT-0600,1.20746,1.20805,1.20611,1.20718,41816.9198
04.01.2018 14:00:00.000 GMT-0600,1.20719,1.20737,1.20651,1.20669,19847.1607
04.01.2018 18:00:00.000 GMT-0600,1.20666,1.20798,1.20654,1.20748,22033.9602
04.01.2018 22:00:00.000 GMT-0600,1.20747,1.20756,1.20558,1.20575,26424.519699999997
05.01.2018 02:00:00.000 GMT-0600,1.20576,1.20625,1.20419,1.20529,40946.1495
05.01.2018 06:00:00.000 GMT-0600,1.20530,1.20833,1.20209,1.20364,61843.1582
05.01.2018 10:00:00.000 GMT-0600,1.20362,1.20510,1.20304,1.20475,31671.999900000003
05.01.2018 14:00:00.000 GMT-0600,1.20474,1.20495,1.20285,1.20314,10382.6103
07.01.2018 14:00:00.000 GMT-0600,1.20297,1.20391,1.20284,1.20373,6094.189899999999
07.01.2018 18:00:00.000 GMT-0600,1.20373,1.20525,1.20273,1.20327,19579.069799999997
07.01.2018 22:00:00.000 GMT-0600,1.20328,1.20332,1.19930,1.19932,26898.7998
08.01.2018 02:00:00.000 GMT-0600,1.19932,1.20095,1.19836,1.19862,39821.4404
08.01.2018 06:00:00.000 GMT-0600,1.19862,1.19909,1.19593,1.19754,50510.6397
08.01.2018 10:00:00.000 GMT-0600,1.19754,1.19823,1.19561,1.19630,39264.380399999995
08.01.2018 14:00:00.000 GMT-0600,1.19626,1.19709,1.19614,1.19703,16874.1102
08.01.2018 18:00:00.000 GMT-0600,1.19700,1.19757,1.19582,1.19719,26516.2207
08.01.2018 22:00:00.000 GMT-0600,1.19720,1.19724,1.19512,1.19514,30434.3701
09.01.2018 02:00:00.000 GMT-0600,1.19514,1.19530,1.19212,1.19285,47878.2598
09.01.2018 06:00:00.000 GMT-0600,1.19284,1.19357,1.19158,1.19299,57091.0908
09.01.2018 10:00:00.000 GMT-0600,1.19299,1.19360,1.19167,1.19323,36326.5595
09.01.2018 14:00:00.000 GMT-0600,1.19322,1.19392,1.19280,1.19287,17599.6598
09.01.2018 18:00:00.000 GMT-0600,1.19284,1.19497,1.19284,1.19420,27046.739999999998
09.01.2018 22:00:00.000 GMT-0600,1.19422,1.19452,1.19234,1.19349,34398.3998
10.01.2018 02:00:00.000 GMT-0600,1.19357,1.20166,1.19319,1.20059,63836.998100000004
10.01.2018 06:00:00.000 GMT-0600,1.20059,1.20181,1.19734,1.19828,64991.2803
10.01.2018 10:00:00.000 GMT-0600,1.19829,1.19841,1.19404,1.19579,52462.7207
10.01.2018 14:00:00.000 GMT-0600,1.19574,1.19657,1.19474,1.19561,21141.4199
10.01.2018 18:00:00.000 GMT-0600,1.19560,1.19703,1.19454,1.19537,30329.1099
10.01.2018 22:00:00.000 GMT-0600,1.19538,1.19548,1.19298,1.19401,34038.2105
11.01.2018 02:00:00.000 GMT-0600,1.19399,1.19519,1.19294,1.19437,44418.849500000004
11.01.2018 06:00:00.000 GMT-0600,1.19438,1.20591,1.19366,1.20492,78027.23819999999
11.01.2018 10:00:00.000 GMT-0600,1.20493,1.20499,1.20303,1.20392,44105.251
11.01.2018 14:00:00.000 GMT-0600,1.20390,1.20441,1.20279,1.20431,19130.53
11.01.2018 18:00:00.000 GMT-0600,1.20431,1.20668,1.20417,1.20517,29054.6699
11.01.2018 22:00:00.000 GMT-0600,1.20516,1.20756,1.20402,1.20627,32132.970100000002
12.01.2018 02:00:00.000 GMT-0600,1.20630,1.21370,1.20525,1.21246,62580.3291
12.01.2018 06:00:00.000 GMT-0600,1.21246,1.21554,1.21115,1.21483,76040.1925
12.01.2018 10:00:00.000 GMT-0600,1.21481,1.21852,1.21223,1.21813,61915.1787
12.01.2018 14:00:00.000 GMT-0600,1.21814,1.22186,1.21769,1.22051,19007.8301
14.01.2018 14:00:00.000 GMT-0600,1.21962,1.22122,1.21910,1.21923,9157.9998
14.01.2018 18:00:00.000 GMT-0600,1.21923,1.22092,1.21879,1.22004,38182.7403
14.01.2018 22:00:00.000 GMT-0600,1.22003,1.22404,1.21963,1.22121,44157.6504
15.01.2018 02:00:00.000 GMT-0600,1.22115,1.22968,1.22098,1.22558,53544.2402
15.01.2018 06:00:00.000 GMT-0600,1.22557,1.22910,1.22516,1.22598,45737.9599
15.01.2018 10:00:00.000 GMT-0600,1.22600,1.22942,1.22593,1.22691,32295.17
15.01.2018 14:00:00.000 GMT-0600,1.22692,1.22787,1.22617,1.22669,19863.5396
15.01.2018 18:00:00.000 GMT-0600,1.22670,1.22800,1.22481,1.22577,32470.011199999997
15.01.2018 22:00:00.000 GMT-0600,1.22577,1.22831,1.22162,1.22470,42092.389200000005
16.01.2018 02:00:00.000 GMT-0600,1.22469,1.22677,1.22017,1.22156,58037.71109999999
16.01.2018 06:00:00.000 GMT-0600,1.22156,1.22405,1.21954,1.22295,58746.8007
16.01.2018 10:00:00.000 GMT-0600,1.22294,1.22811,1.22253,1.22720,50729.600699999995
16.01.2018 14:00:00.000 GMT-0600,1.22718,1.22772,1.22545,1.22710,23046.0701
16.01.2018 18:00:00.000 GMT-0600,1.22710,1.23233,1.22595,1.22676,44234.8496
16.01.2018 22:00:00.000 GMT-0600,1.22677,1.22704,1.22087,1.22175,45773.67969999999
17.01.2018 02:00:00.000 GMT-0600,1.22178,1.22500,1.22054,1.22072,53797.7705
17.01.2018 06:00:00.000 GMT-0600,1.22072,1.22460,1.21967,1.22426,59620.9287
17.01.2018 10:00:00.000 GMT-0600,1.22426,1.22882,1.22260,1.22379,58088.9101
17.01.2018 14:00:00.000 GMT-0600,1.22377,1.22382,1.21656,1.21806,33560.5898
17.01.2018 18:00:00.000 GMT-0600,1.21807,1.22045,1.21737,1.21800,33866.1396
17.01.2018 22:00:00.000 GMT-0600,1.21800,1.22123,1.21792,1.22067,36362.44
18.01.2018 02:00:00.000 GMT-0600,1.22069,1.22471,1.21963,1.22401,48262.7208
18.01.2018 06:00:00.000 GMT-0600,1.22401,1.22650,1.22274,1.22394,59092.2197
18.01.2018 10:00:00.000 GMT-0600,1.22391,1.22555,1.22202,1.22436,56589.0087
18.01.2018 14:00:00.000 GMT-0600,1.22436,1.22475,1.22265,1.22346,25450.6802
18.01.2018 18:00:00.000 GMT-0600,1.22345,1.22703,1.22324,1.22671,39185.4698
18.01.2018 22:00:00.000 GMT-0600,1.22671,1.22794,1.22516,1.22721,35223.3002
19.01.2018 02:00:00.000 GMT-0600,1.22721,1.22956,1.22561,1.22735,54063.4902
19.01.2018 06:00:00.000 GMT-0600,1.22733,1.22733,1.22189,1.22212,62682.988300000005
19.01.2018 10:00:00.000 GMT-0600,1.22214,1.22435,1.22195,1.22333,43897.19149999999
19.01.2018 14:00:00.000 GMT-0600,1.22334,1.22346,1.22150,1.22174,14784.790099999998
21.01.2018 14:00:00.000 GMT-0600,1.22708,1.22739,1.22342,1.22563,9133.99
21.01.2018 18:00:00.000 GMT-0600,1.22563,1.22577,1.22250,1.22291,34951.3393
21.01.2018 22:00:00.000 GMT-0600,1.22291,1.22430,1.22142,1.22375,37597.8804
22.01.2018 02:00:00.000 GMT-0600,1.22375,1.22673,1.22352,1.22553,44068.949100000005
