Model_Name,ACC,Profundidad,TEST_SIZE,VAL_SIZE,FILE_NAME_BASE
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.455696203,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.456669912,1,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.465433301,2,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.445959104,3,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.454722493,4,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.460564752,5,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.444011685,6,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.41285297,7,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.459591042,8,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.483933788,9,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.475170399,10,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.493670886,11,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.483933788,12,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.440116845,13,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.46835443,0,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.47224927,1,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.474196689,2,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.461538462,3,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.443037975,4,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.46932814,5,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.444011685,6,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.494644596,7,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.480038948,8,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.467380721,9,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.492697176,10,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.475170399,11,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.47030185,12,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.474196689,13,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.460564752,14,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.449853944,15,0.2,0.2,
3C-EURUSD_FULL_1D_45F_0.0029Sep__5137Size_XGBOOST_Class_02,0.429406037,0,0.2,0.2,
3C-EURUSD_FULL_1D_45F_0.0029Sep__5137Size_XGBOOST_Class_02,0.427458617,1,0.2,0.2,
3C-EURUSD_FULL_1D_45F_0.0029Sep__5137Size_XGBOOST_Class_02,0.421616358,2,0.2,0.2,
3C-EURUSD_FULL_1D_45F_0.0029Sep__5137Size_XGBOOST_Class_02,0.451801363,7,0.2,0.2,
3C-EURUSD_FULL_1D_45F_0.0029Sep__5137Size_XGBOOST_Class_02,0.431353457,8,0.2,0.2,
3C-EURUSD_FULL_1D_45F_0.0029Sep__5137Size_XGBOOST_Class_02,0.459591042,11,0.2,0.2,
3C-EURUSD_FULL_1D_45F_0.0029Sep__5137Size_XGBOOST_Class_02,0.442064265,10,0.2,0.2,
3C-EURUSD_FULL_1D_45F_0.0029Sep__5137Size_XGBOOST_Class_02,0.456669912,12,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.431353457,0,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_Class_02,0.47030185,7,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.501460565,11,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_Class_02,0.484907498,9,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.49acc_Class_02,0.488802337,6,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.46acc_0Prof_Class_02,0.455696203,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.48acc_1Prof_Class_02,0.484907498,1,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.44acc_2Prof_Class_02,0.436222006,2,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.48acc_3Prof_Class_02,0.482960078,3,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.46acc_4Prof_Class_02,0.464459591,4,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.47acc_5Prof_Class_02,0.467380721,5,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.49acc_6Prof_Class_02,0.488802337,6,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.45acc_7Prof_Class_02,0.446932814,7,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.45acc_8Prof_Class_02,0.449853944,8,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.48acc_9Prof_Class_02,0.484907498,9,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_0.50acc_10Prof_Class_02,0.501460565,10,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_11Prof_0.50acc_Class_02,0.501460565,11,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_12Prof_0.45acc_Class_02,0.452775073,12,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_0Prof_0.43acc_Class_02,0.431353457,0,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_1Prof_0.48acc_Class_02,0.477117819,1,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_2Prof_0.46acc_Class_02,0.461538462,2,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_3Prof_0.46acc_Class_02,0.460564752,3,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_4Prof_0.47acc_Class_02,0.467380721,4,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_5Prof_0.45acc_Class_02,0.448880234,5,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_6Prof_0.46acc_Class_02,0.464459591,6,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_7Prof_0.47acc_Class_02,0.47030185,7,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_8Prof_0.44acc_Class_02,0.441090555,8,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_9Prof_0.46acc_Class_02,0.461538462,9,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_10Prof_0.47acc_Class_02,0.46932814,10,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_11Prof_0.48acc_Class_02,0.475170399,11,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_12Prof_0.48acc_Class_02,0.480038948,12,0.2,0.2,
3C-EURUSD_FULL_1D_70F_0.0029Sep__5137Size_XGBOOST_13Prof_0.45acc_Class_02,0.453748783,13,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_8Prof_0.45acc_Class_02,0.449853944,8,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_8Prof_0.47acc_Class_02,0.467380721,8,0.1,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_8Prof_0.47acc_Class_02,0.467380721,8,0.1,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_8Prof_0.48acc_Class_02,0.477922078,8,0.15,0.15,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_8Prof_0.48acc_Class_02,0.475633528,8,0.2,0.1,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_8Prof_0.46acc_Class_02,0.462686567,8,0.1,0.3,
3C-EURUSD_FULL_1D_145F_0.0028Sep__5137Size_XGBOOST_8Prof_0.48acc_Class_02,0.480519481,8,0.15,0.15,
3C-EURUSD_FULL_1D_145F_0.0028Sep__5137Size_XGBOOST_4Prof_0.49acc_Class_02,0.494805195,4,0.15,0.15,
3C-EURUSD_FULL_1D_145F_0.0028Sep__5137Size_XGBOOST_11Prof_0.48acc_Class_02,0.479220779,11,0.15,0.15,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_11Prof_0.46acc_Class_02,0.462512171,11,0.1,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_11Prof_0.49acc_Class_02,0.493835172,11,0.1,0.3,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_8Prof_0.46acc_Class_02,0.462686567,8,0.1,0.3,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_11Prof_0.46acc_Class_02,0.45995671,11,0.18,0.18,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_11Prof_0.38acc_Class_02,0.378504673,11,0.25,0.25,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_11Prof_0.47acc_Class_02,0.467836257,11,0.1,0.1,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_14Prof_0.46acc_Class_02,0.461538462,14,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_15Prof_0.47acc_Class_02,0.466407011,15,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_16Prof_0.44acc_Class_02,0.438169426,16,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_17Prof_0.45acc_Class_02,0.454722493,17,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0029Sep__5137Size_XGBOOST_10Prof_0.50acc_Class_02,0.501460565,10,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0028Sep__5137Size_XGBOOST_4Prof_0.45acc_Class_02,0.451801363,4,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.003Sep__5137Size_XGBOOST_0Prof_0.47acc_Class_02,0.466407011,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.003Sep__5137Size_XGBOOST_4Prof_0.49acc_Class_02,0.490749757,4,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.003Sep__5137Size_XGBOOST_8Prof_0.47acc_Class_02,0.47322298,8,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0032Sep__5137Size_XGBOOST_0Prof_0.48acc_Class_02,0.482960078,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0032Sep__5137Size_XGBOOST_4Prof_0.51acc_Class_02,0.514118793,4,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0032Sep__5137Size_XGBOOST_11Prof_0.49acc_Class_02,0.488802337,11,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0035Sep__5137Size_XGBOOST_11Prof_0.54acc_Class_02,0.536514119,11,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0035Sep__5137Size_XGBOOST_8Prof_0.54acc_Class_02,0.540408958,8,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0035Sep__5137Size_XGBOOST_4Prof_0.53acc_Class_02,0.532619279,4,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0035Sep__5137Size_XGBOOST_0Prof_0.54acc_Class_02,0.543330088,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0025Sep__5137Size_XGBOOST_0Prof_0.44acc_Class_02,0.439143135,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.002Sep__5137Size_XGBOOST_0Prof_0.39acc_Class_02,0.387536514,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.002Sep__5137Size_XGBOOST_4Prof_0.39acc_Class_02,0.394352483,4,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.002Sep__5137Size_XGBOOST_8Prof_0.40acc_Class_02,0.400194742,8,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.002Sep__5137Size_XGBOOST_11Prof_0.39acc_Class_02,0.387536514,11,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0017Sep__5137Size_XGBOOST_0Prof_0.41acc_Class_02,0.407010711,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0019Sep__5137Size_XGBOOST_0Prof_0.42acc_Class_02,0.415774099,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.0025Sep__5137Size_XGBOOST_0Prof_0.44acc_Class_02,0.439143135,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.002Sep__5137Size_XGBOOST_0Prof_0.39acc_Class_02,0.387536514,0,0.2,0.2,
3C-EURUSD_FULL_1D_145F_0.002Sep__5137Size_XGBOOST_0Prof_0.39acc_Class_02,0.387536514,0,0.2,0.2,
3C-EURUSD_FULL_4H_145F_0.002Sep__26494Size_XGBOOST_0Prof_0.75acc_Class_01,0.747640619,0,0.2,0.2,3C-EURUSD_FULL_4H_145F_0.002Sep
3C-EURUSD_FULL_4H_145F_0.002Sep__26494Size_XGBOOST_1Prof_0.70acc_Class_01,0.69611174,1,0.2,0.2,3C-EURUSD_FULL_4H_145F_0.002Sep
